AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,DOW,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,TRV,UNH,V,VZ,WBA,WMT
69246000,2375900,1782900,5355500,2862100,7931700,14976600,9365500,13660000,5657800,2232200,4733700,2642600,3538100,28267900,6183100,9906900,12267500,3160500,2773500,9524500,24778200,6967400,1467600,2699900,10229400,21560900,4687900,5891600
83763800,2135300,2655700,5077800,2277900,6398100,13779300,6985400,13205300,4905000,1746900,3505600,2101700,2754700,24361500,6700500,7925300,10969600,2873500,1863100,9352400,17956300,8494400,1095400,3751000,8986900,14008800,3213600,4613900
111380900,5776200,3914700,6778700,3850000,14591500,29919700,10936700,15368100,7194200,2964100,15106500,4675000,6377600,72072500,13288000,14761200,30433900,5196500,5830600,20305800,47594200,16251000,4132400,9688900,13918100,31358800,7591800,10446000
71250400,2914600,2670300,4517500,2504700,33721500,18559500,5217400,13855700,4757300,1706300,3830100,3990400,4495900,38896300,6282600,8858500,12001400,2599600,2638800,10110500,26041500,7822900,1077900,2997800,11261500,26276600,4511400,7577400
65447400,2267000,2285400,10563800,2218300,15086700,12325100,6852300,12608100,4858300,1932300,3644100,2194300,2900000,31546000,5823900,8931900,13643500,2807500,1821900,6943600,21528500,5892000,1294900,2346200,5132800,21677100,4857600,6911000
68826400,3274700,3013100,10456300,2064500,20294600,13795900,8162200,10764500,5109900,2329600,5057300,3077800,2784600,34040400,5120600,10154500,9185100,2586900,2143100,6961900,23435300,6220100,1104500,2424800,9006300,27561000,4501800,7869400
64727200,2608800,3285100,8236900,3633800,16981800,15443800,8765000,11492400,4373400,3081900,3341500,2518400,2847600,27701200,7943500,13966700,10099500,3573000,1919500,7458700,22463700,7086100,1199100,3097700,5986000,26293700,4326300,6875200
69721100,2492600,2879800,5871200,3044000,12915900,15171700,6936300,10353400,4248500,2128200,4038200,2983500,3971300,28239900,5702600,11739400,12307600,2766400,2701500,8270400,20481500,5751500,1217900,2849100,7923800,23065900,3775600,5850100
62128300,1769800,1632400,6707700,2189400,15156900,16015800,8076600,9351200,3815800,1967800,3483600,2169500,2665700,28486100,4798500,8907300,9946200,3022700,3785300,7354800,22611800,6192800,848700,2272300,4896500,19549100,3587900,4504200
76097000,2205700,1761200,6359000,2257000,10287500,14303200,10754300,10111900,3807000,1588800,3738800,2260000,3047600,25641300,4561000,7957800,13914900,1677400,2334900,9667800,20609700,5677700,843800,2852400,4928400,20671200,7710800,9309800
70462700,3427400,2773900,8098400,2709200,11852400,15425300,9364900,14140700,5208100,1750400,4900200,3347000,4032800,35117900,4882400,8841600,11647900,3230500,3877800,10956600,30665100,6426000,1249600,2714100,5941700,19629600,6156800,6477400
93886200,3871300,3110500,10975300,2945200,12579800,22705900,7838800,22882100,4884100,3062600,5787700,3449800,8811500,58546800,9177500,10025400,17521600,3390100,3256900,15836900,42196900,8655300,1455200,3369700,14585000,30176800,6089300,7802700
82291200,3795000,3556200,5814900,3513800,9611800,19050400,7045500,11505400,4064300,2519700,4546000,2545900,4205900,37141100,9533600,9966100,12826700,2660900,3095700,10788300,35410900,7528500,963600,2654600,7001700,23329800,4575300,6778200
98931900,3200400,4282200,5343200,2953200,10807300,19372500,7272900,15957700,6189600,3163700,5056900,3221400,6687000,45682700,7602400,12087800,12212300,2735300,3336500,9871400,35560400,7500700,1241700,2963800,10831800,33007200,5693500,5838000
160156900,8789000,4510600,7906800,7610700,15464700,66125400,23876000,26383900,8969100,5008800,9615000,7128500,9834400,81104200,18841800,21133700,33631500,5932500,7599800,29465900,86102000,14083600,3364300,7109100,12472900,62763800,10867100,13447700
79592600,2679800,2546000,6605400,2622400,9441400,17986300,7131600,19225300,4674700,1646700,3000600,3089800,5282900,37662500,5736000,9017200,10919700,2160800,2440100,6949500,29696400,10620300,927700,1808100,4893600,26127200,5436400,5022500
77432800,1609100,1607800,6156800,2649900,8455500,15086200,6199100,14918400,4003400,1623000,2632200,1875900,5156500,31863300,6174700,8549900,10286500,1785600,2903000,8022000,25150800,17147900,1049700,2086100,5024900,24147300,4716900,5669800
85928000,2057000,2107100,9175400,4143600,9313200,15599400,5479400,11004800,3840500,1923100,2610400,2625200,3793700,28100900,5472000,8051700,10411300,2366800,2578100,6640900,23690600,32777300,1242200,2182000,4086900,24504300,7081600,4575500
77852100,1979100,2901100,6924800,3129900,9968600,23118500,5755000,15487400,3340600,1528900,3064400,2220000,3337100,47478300,5709100,8648200,9666700,2366700,2188400,8373700,28651700,17147600,967200,1851600,5690300,26865300,5997000,4360800
63814900,1465500,1671800,3983600,1959900,5821300,9554400,6079100,11171600,2634200,1062000,2064900,1300700,2092500,23600900,3683400,5091900,6463300,1269000,2609300,4547400,21207000,6603700,660800,1292300,3246000,16918300,3476700,3182500
69007800,1604700,1858500,5014800,3381500,8300800,12066200,5168000,11561400,3094500,1035000,1610200,1461000,2742400,29548100,3067300,5411000,7320700,1674700,1811200,5125800,16688600,6661100,518700,1596700,2904900,25315900,3940100,3348200
85438400,1349500,1490200,4426300,2270000,6249800,9847400,4494400,12399500,3340300,1117200,1568200,1607300,2539500,26176900,2645400,8827700,7159400,1427800,1961000,5107800,17457100,5437800,733400,1694200,3139200,21793200,4008900,5082100
75703700,1446400,1758500,4518900,1652500,7628800,11396500,4142100,13045100,2743400,1273600,1559100,1879900,2337200,30944800,2828800,6585200,7169300,1393900,2060800,4467200,19770700,4588600,676500,1379700,3675500,17347000,5251500,3057300
76960600,1621300,2247200,4005100,1521100,5628700,13198500,5001000,23218800,2696200,1031400,2580800,1597700,2858000,30997900,4216600,9290300,7649400,1720100,2094900,5498000,21930800,4353100,608200,1849300,4159400,43999100,5404200,3834800
112117500,2594800,2762200,8624600,2651900,8196400,17718900,7565400,14997100,3962500,1589700,2822400,2219300,3338600,31308000,6344900,11054800,12180500,2743800,2612800,8062500,25740000,8124800,983400,3525600,4202800,31330700,7377200,5749900
89113600,1773800,2620400,9746900,2387900,14322600,18339800,7684500,14957200,4527800,1881000,3560900,3860300,3869200,37665200,9788800,11687600,13387900,2584100,2769700,8698600,50623400,8550700,1015300,5070400,6606200,28779500,7987000,4446100
80962700,2056000,2505700,6913300,2355900,8493500,17372100,6088200,11622600,4803000,1397800,2935100,4057500,2866600,33552600,6255300,8381300,9814700,1945600,2606600,9578900,39585600,6046700,973500,5497100,5246000,29987200,19328200,4424800
87686600,2887800,3077400,11245700,3944300,9144100,20823000,7189400,9823200,6098000,3097300,4022000,4056300,3573600,31760300,5703800,10027100,9987900,2855400,2417000,8631400,43597700,10078500,1282200,4840700,6828400,25995400,10009200,7076300
70790800,2160700,3219400,9005600,3417100,13679700,13938000,8385600,11675800,6510900,1989000,3466300,2627400,3987700,37493200,7925300,8482300,9442600,2654600,2871300,12858800,27369800,9397900,1111600,3702800,6294500,23062200,9435000,5918900
63896200,1783400,2198400,8183200,3011900,6527700,12474400,8307000,6914600,6611700,1610100,2111300,1775700,2152100,23008100,5047500,9048700,10134600,1718400,1648100,12122800,27033900,5899900,959100,3164000,10857000,16695300,6341200,3990200
69458900,2044400,3113600,7190700,2402400,13595000,12530900,6962600,8757300,8926300,2127000,2864800,2919500,3268700,30375400,6494800,8703700,10823000,2391400,2013500,8626500,28669300,6989200,956400,4274200,5408200,20674800,6098700,4944900
71379600,1454100,3322400,8208100,3881500,11678000,14241700,6891400,19764300,7305900,2103100,2481800,2964200,2715900,28963900,4269400,11001700,13907300,1933000,1839500,8914800,27269500,8366400,761100,3726800,4264400,16980300,6056100,4157600
